,res,start,end
salt,159,1850,2008
salut,159,1850,2008
salutis,159,1850,2008
sammelwerke,159,1850,2008
sanchez,159,1850,2008
sanctus,159,1850,2008
santi,159,1850,2008
sapientia,159,1850,2008
sarepta,159,1850,2008
sarto,159,1850,2008
schachbrett,159,1850,2008
schamhaft,159,1850,2008
scharniere,159,1850,2008
schauberg,96,1850,1945
schaufenster,159,1850,2008
scheitelhöhe,159,1850,2008
scherr,159,1850,2008
schiffskörper,159,1850,2008
schmierer,159,1850,2008
schmuckgegenstände,159,1850,2008
schmucks,159,1850,2008
schneiderei,159,1850,2008
schnitzerei,159,1850,2008
schoa,95,1850,1944
schreber,159,1850,2008
schreibstift,159,1850,2008
schreibweise,159,1850,2008
schriftstück,159,1850,2008
schriftstücks,159,1850,2008
schrägstellung,159,1850,2008
schulsysteme,159,1850,2008
schurz,159,1850,2008
schuttkegel,134,1850,1983
schuttmassen,159,1850,2008
schutzzöllnerischen,157,1850,2006
schweinfurter,159,1850,2008
scientiam,159,1850,2008
scienze,159,1850,2008
sclera,91,1850,1940
scriptores,159,1850,2008
secondo,159,1850,2008
seemännischen,96,1850,1945
seitenlänge,159,1850,2008
seitenschiff,159,1850,2008
selbstanklagen,159,1850,2008
selbstgewissheit,90,1850,1939
selbstkritik,159,1850,2008
selbstvervollkommnung,159,1850,2008
selens,96,1850,1945
sempre,159,1850,2008
senile,159,1850,2008
sensualistischen,159,1850,2008
sent,159,1850,2008
sextanten,159,1850,2008
sia,159,1850,2008
siecles,159,1850,2008
signoria,159,1850,2008
silikat,159,1850,2008
simonides,159,1850,2008
singstimmen,159,1850,2008
sitzreihen,159,1850,2008
sitzungsbericht,159,1850,2008
skeptizismus,159,1850,2008
skizzenhaft,159,1850,2008
société,159,1850,2008
sodalösung,131,1850,1980
sokratisch,159,1850,2008
solidum,139,1850,1988
solito,159,1850,2008
sommerliche,159,1850,2008
sommerregen,159,1850,2008
sonate,159,1850,2008
sonaten,159,1850,2008
sonnenblume,159,1850,2008
sotto,159,1850,2008
southern,159,1850,2008
spaeth,95,1850,1944
spannendes,159,1850,2008
spannendsten,159,1850,2008
spasmen,159,1850,2008
specialis,159,1850,2008
spinozas,159,1850,2008
sprachwissenschaftlichen,159,1850,2008
spross,159,1850,2008
spéciale,159,1850,2008
